FROM MOD-XVR(4IO)
C1,860020672010|ESH106M063AC3AA,Wurth|Kemet,D5mm_P2mm
C2,860020372002|ESH226M016AC3DA,Wurth|Kemet,D5mm_P2mm
C3,860020373010|ESH227M016AE3AA,Wurth|Kemet,D6.3mm_P2.5mm
C4,K472K15X7RF53L2|FG28X7R1H472KNT06,Vishay|TDK,W2.6xL4mm_P2.5mm|W2.6xL4mm_P5mm
D1,BZX85C36|1N4753A-T50A,Vishay|Onsemi,DO-41
D3,BAT43,Vishay,DO-35
L1,RLB0912-100KL,Bourns,D8.7mm_P5mm

